"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Mata Atlântica  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1. Floresta Natural";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2. Agricultura";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"3.2. Agricultura";0.00021434777634601982;8.12498555633396e-05;5.9576412682249105e-05;0.0;0.019813640344946336;0.07237988623253011;0.0;0.0001072151180845452;0.0;0.0926559157401526;0.0926559157401526;-0.0025205576757275534;0.781168537964858;0.026210249209399995;0.21883146203514203;0.002520557675727522
"3.3 Mosaico de Agricultura ou Pastagem";0.020143207694859052;0.001453983604621996;0.0013439685341958185;0.0026015687329254836;0.0;0.0;0.1051770277403614;0.0036572266817166852;0.0004877563566188019;0.13486473934529924;0.13486473934529924;-0.029687711604937824;0.7798704705984908;0.02085578375452412;0.2201295294015092;0.02968771160493784
"4.1. Infraestrutura Urbana";1.835835268548028e-05;0.0;0.0;7.973669712909695e-05;0.0002878689888353208;4.3339947534034416e-05;0.0;0.011983244556280222;0.0;0.012412548542464154;0.012412548542464154;0.0051011450272506025;0.9654137113973609;0.055219257030077795;0.034586288602639126;0.005101145027250604
"5.1. Rio, Lago e Oceano";0.00011596980818759518;0.0;3.715572470076327e-05;5.832016606002143e-05;0.0001088876000473182;0.0;0.0;0.0;0.014669008474127429;0.014989341773123128;0.014989341773123128;0.00040795346856191747;0.9786292617885278;0.0592695909329523;0.021370738211472173;0.0004079534685619175
"total";0.28697413127064014;0.01683426024016141;0.006401770524771529;0.006598320382265917;0.45496814296597815;0.09013535806442508;0.1051770277403614;0.01751369356971476;0.015397295241685045;1.0;1.0;0;0.8490454132109082;0.01751136458656687;0.1509545867890918;0.06707285150237931
"adj population";0.28697413127064253;0.016834260240161398;0.006401770524771529;0.006598320382265917;0.454968142965973;0.09013535806442494;0.10517702774036096;0.01751369356971475;0.015397295241685028;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.228127035978417e-17;2.092638886419207e-16;2.9749581332787054e-16;2.9177082211901653e-16;5.600679456591267e-17;9.614002676823231e-17;8.889751022180078e-17;2.184015362865558e-16;2.410829728629302e-16;1.5613406351540236e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8940734731154513;0.571250846779819;0.292550112541368;0.15007587294199237;0.8259492911361238;0.8030132434909274;1.0;0.6842214355629719;0.9527003440457562;0.8490454132109075;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.0156504198641948;0.0301251160320209;0.03228302557201634;0.015305948639264898;0.011757236857418377;0.026940317414267608;0.027908977825943444;0.035858815167056156;0.057456079571586965;0.017531576994171717;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9843495801358052;0.969874883967979;0.9677169744279837;0.9846940513607351;0.9882427631425816;0.9730596825857324;0.9720910221740565;0.9641411848329439;0.9425439204284131;0.15095458678909246;NaN;NaN;NaN;NaN;NaN;NaN
