"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Amazônia  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.8901125100805309;0.0028810219118659227;8.765368640326506e-05;0.0005645327068924819;0.008941454536616131;3.401511365101847e-05;1.529765709618175e-05;0.0007422639988039896;0.9033787496918598;0.9033787496918598;-0.007498312873564634;0.9853148642074495;0.0019440457935645228;0.014685135792550486;0.0074983128735646165
"1.1.2. Formação Savânica";0.0006489962143005274;0.0010982680532596514;0.0;4.039109322381987e-05;0.0009150489029575931;0.0;0.0;0.0;0.0027027042637415917;0.0027027042637415917;0.008700053872056147;0.406358944999488;0.034447778608551145;0.593641055000512;0.008700053872056147
"1.2. Floresta Plantada";0.0;0.0;1.579725541111991e-05;0.0;6.796060211873933e-05;0.0;0.0;0.0;8.375785752985925e-05;8.375785752985925e-05;9.336494854975461e-05;0.18860624993288866;0.14032248222036928;0.8113937500671113;9.336494854975461e-05
"2.2. Formação Campestre (Campo)";0.0015795605544756512;0.006887334049536633;1.9962524592567776e-05;0.027316143176625066;0.0016657184282308135;2.2162092347887874e-05;0.0;0.0005370075913006912;0.03802788841710931;0.03802788841710931;-0.009887759913965044;0.7183186948748681;0.021587845377856494;0.2816813051251319;0.009887759913965042
"3.1. Pastagem";0.003383069664523142;0.0005361341211355307;5.370933967266109e-05;0.0002190615264028965;0.03577363837123049;3.126109216796817e-05;7.386675527677728e-05;0.0;0.04007074087040946;0.04007074087040946;0.0073995146726057535;0.8927620900977105;0.02183037861364859;0.10723790990228954;0.007399514672605752
"3.2.1. Lavoura Temporária";0.0;0.0;0.0;0.0;9.88294599102986e-05;0.00020169614424338675;0.0;0.0;0.00030052560415368536;0.00030052560415368536;-1.1391161743424087e-05;0.6711446261338906;0.12533426830327543;0.3288553738661094;1.1391161743424074e-05
"4.1. Infraestrutura Urbana";1.0410847186533708e-05;0.0;0.0;0.0;7.6052419511487355e-06;0.0;0.00045007372472012663;0.0;0.0004680898138578091;0.0004680898138578091;7.114832323527656e-05;0.9615114693712279;0.09032146939499383;0.03848853062877211;7.114832323527653e-05
"5.1. Rio, Lago e Oceano";0.00014588945727850612;0.0;0.0;0.0;0.0;0.0;0.0;0.01482165402408944;0.014967543481367947;0.014967543481367947;0.0011333821328261748;0.9902529458183895;0.036865675277121875;0.009747054181610482;0.0011333821328261742
"total";0.8958804368182952;0.011402758135797738;0.00017712280607961385;0.028140128503144266;0.04747025554301521;0.0002891344424102613;0.0005392381370930856;0.01610092561419412;1.0000000000000002;1.0000000000000002;0;0.9697897808301097;0.004188497860835003;0.030210219169890307;0.017397463949273093
