"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Cerrado  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"error of omission";0.9885687646375938;0.9903553458774752;0.9712464225872639;0.9869721576251929;0.9888274175648601;0.9755500579765525;0.9748143166391915;0.9577937989252672;0.28881792563433306;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.08616236550638495;0.19067737514617789;0.001360839183139291;0.09589764510739295;0.10470236094312113;0.01828177581893438;0.00010212645955942666;0.0007676141307643488;0.2489760511477372;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1987 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.14001951285596725;0.031147280748668637;0.0024119550276553354;0.0005115337055303401;0.008112084014459009;0.0001796404598499458;9.03555216211133e-05;0.00029546362748422884;0.18276782596123586;0.18276782596123586;0.015944289303236346;0.766105916725544;0.012651719023226609;0.23389408327445604;0.015944289303236242
"1.1.2. Formação Savânica";0.05282722943601229;0.2573414336246027;0.00162816581207654;0.03364287488669943;0.041485861035101206;0.0005795863806285221;0.0002824874323669198;0.0005006677480548521;0.3882883063555425;0.3882883063555425;-0.041633750909181574;0.6627586497260198;0.008697682896555946;0.33724135027398017;0.04163375090918142
"1.2. Floresta Plantada";0.00036986220162304567;0.00017598457129579554;0.005382616203127538;0.0;0.00017439250065152118;0.0;0.0;0.0;0.0061028554766979;0.0061028554766979;0.004456317802079544;0.8819832328783795;0.05188024229378482;0.11801676712162046;0.004456317802079546
"2.2. Formação Campestre (Campo)";0.00020735993480660718;0.037186247392058946;0.00028552219347103387;0.04973901815517753;0.014202668618524206;0.0005489775635120926;4.6024986539322644e-05;0.0003525076852636015;0.10256832652935334;0.10256832652935334;-0.005916199043796061;0.48493545559547674;0.01228379857395822;0.5150645444045232;0.005916199043796103
"3.1. Pastagem";0.005099048843018629;0.019557502062690225;0.0007609752422583301;0.011091044635270707;0.2304209277917617;0.00829639510904875;0.00104044185881954;4.591062221177585e-05;0.2763122461650796;0.2763122461650796;0.025632605315710252;0.8339150037313185;0.011899737931749178;0.16608499626868145;0.025632605315710266
"3.2.1. Lavoura Temporária";4.568665952969782e-05;0.0012206836707019091;8.993880018866603e-05;0.0015902691303958077;0.007498073549972671;0.02645109779526162;6.22837838241251e-05;0.0;0.036958033389874495;0.036958033389874495;-0.000902336081573564;0.7157063125146834;0.02388683052687248;0.2842936874853166;0.000902336081573564
"4.1. Infraestrutura Urbana";0.0;0.0;0.0;0.0;5.084397031958302e-05;0.0;0.0013598797300954997;0.0;0.0014107237004150827;0.0014107237004150827;0.001470749612851438;0.9639589451112057;0.05445476870970654;0.03604105488879428;0.001470749612851438
"5.1. Rio, Lago e Oceano";0.0001434153335145683;2.542337634284902e-05;0.0;7.738697248342179e-05;0.0;0.0;0.0;0.005345456739462534;0.005591682421803373;0.005591682421803373;0.0009483240006736195;0.9559657248450407;0.05151589537240847;0.04403427515495928;0.0009483240006736187
"total";0.1987121152644721;0.3466545554463611;0.010559173278777445;0.09665212748555724;0.30194485148078987;0.03605569730830093;0.0028814733132665206;0.006540006422476992;1.0;1.0;0;0.7160599428954559;0.01180181678194301;0.28394005710454406;0.048452286034551095
"adj population";0.19871211526447233;0.3466545554463604;0.010559173278777444;0.09665212748555731;0.3019448514807881;0.03605569730830095;0.0028814733132665206;0.0065400064224769875;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.8257319770368616e-17;2.334256820319465e-17;1.0723347826580213e-16;3.6555045459882305e-17;2.4340696965597673e-17;6.041755013757079e-17;2.0936724934070998e-16;1.468319253321141e-16;6.363458334752403e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.7046350076320756;0.74235699367413;0.5097573513587368;0.5146189685541075;0.7631225591750848;0.7336177017764097;0.47193903335301113;0.8173473226403912;0.7160599428954557;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.011670778630116195;0.009843548861774073;0.02763863020413366;0.013190945846311766;0.010805682092442504;0.02412049522147689;0.0266672489728099;0.04266933837216435;0.011786510290606175;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9883292213698838;0.9901564511382259;0.9723613697958663;0.9868090541536882;0.9891943179075575;0.9758795047785231;0.9733327510271901;0.9573306616278356;0.2839400571045443;NaN;NaN;NaN;NaN;NaN;NaN
