"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para BRASIL  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.1. Área Úmida Natural não Florestal";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.5345215003785303;0.011968734335377347;0.0011540356435851236;2.3126498143409767e-05;0.0009092893060688771;0.005175328951585855;0.00969217070306148;0.0004377421678058868;0.0;4.908754485813157e-05;0.00047917537249264397;0.0002288372298738665;0.564639028131383;0.564639028131383;-0.008079962638999901;0.9466605632052679;0.0030996698031512597;0.053339436794732076;0.008079962639000238
"1.1.2. Formação Savânica";0.013870624213800512;0.11304952030093263;0.00028251458257132905;0.0;0.008541218411866185;0.00026034335491202616;0.01501180553828281;0.00014783579275596585;0.0;0.00010614316862529743;0.0001993835176757719;0.0001939877078658042;0.15166337658928833;0.15166337658928833;-0.0040656483564444484;0.7453976223084919;0.0067574652575692435;0.25460237769150806;0.0040656483564444346
"1.2. Floresta Plantada";0.00032249558994174195;3.726161787849903e-05;0.0023287870391615903;0.0;1.3481729131277599e-05;0.0;0.00011781844163557201;0.0;0.0;0.0;0.0;0.0;0.002819844417748681;0.002819844417748681;0.0015735513832636403;0.8258565701368932;0.025752989749720186;0.17414342986310682;0.0015735513832636403
"2.1. Área Úmida Natural não Florestal";7.372826525952715e-05;0.0001090774680159974;0.0;0.0028204791822257214;0.000226965122492983;0.00013570457107910192;7.149739813037457e-05;0.0;0.0;6.344577695944272e-06;8.405591930989625e-06;0.0;0.003452202176830639;0.003452202176830639;0.0004702563457948829;0.8170086911929114;0.035535432195282615;0.18299130880708858;0.0004702563457948841
"2.2. Formação Campestre (Campo)";0.0012586652021026614;0.010879557714924003;7.836932984829464e-05;0.0007458573114348573;0.04761287784674936;2.5592737965649363e-06;0.006615760079234227;0.0005868942702987089;0.0;4.17119146462023e-05;0.0003708032977102069;1.62288307175405e-05;0.06820928507146264;0.06820928507146264;-0.0025057035649213057;0.6980410041956251;0.010097190635784202;0.3019589958043749;0.002505703564921316
"2.5. Outra Formação não Florestal";9.903240445833594e-06;0.0;0.0;0.0;1.1428053559710042e-05;0.00011947345000984713;4.803055374548681e-05;0.0;0.0;0.0;0.0;0.0;0.00018883529776087758;0.00018883529776087758;0.007189350628351893;0.6326860042932045;0.06595280449619317;0.36731399570679546;0.007189350628351896
"3.1. Pastagem";0.004038221267732847;0.00686298220446547;0.0003147139161874745;0.0;0.003181635104801878;0.0010083022837150263;0.12017182130566878;0.0028217534018343967;0.0;0.0004544998839034945;2.0093193263087004e-05;0.0006713583666987783;0.13954538092827126;0.13954538092827126;0.017275284014766985;0.8611666004727105;0.00829865445268318;0.13883339952728946;0.017275284014767023
"3.2.1. Lavoura Temporária";0.00013664370793418438;0.0004023043144979628;4.112462973560681e-05;4.671475543354533e-05;0.0034007694095876556;0.0;0.004966173139241649;0.018081315252922843;0.0;2.584984104931201e-05;0.0;0.0001091213788922306;0.02721001642929499;0.02721001642929499;-0.005126482738413179;0.6645095308893687;0.013246741381437258;0.3354904691106313;0.0051264827384131795
"3.3 Mosaico de Agricultura ou Pastagem";0.002054186500261453;0.00426971348524239;0.00019385065992290202;0.0;0.0017082794161404433;0.00035534236067885676;0.0;0.0;0.01761102710377007;0.000515963468973487;0.00011279917947625148;0.0;0.02682116217446585;0.02682116217446585;-0.009210135070695784;0.6566093963122904;0.012043967272796205;0.3433906036877096;0.00921013507069578
"4.1. Infraestrutura Urbana";1.3976234125377502e-05;0.0;0.0;0.0;0.0;9.417087523093094e-06;5.506205984022644e-05;0.0;0.0;0.0020833994601347394;0.0;0.0;0.0021618548416234363;0.0021618548416234363;0.0011211450182631723;0.9637092278453898;0.027319676609470954;0.036290772154610185;0.0011211450182631723
