"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Mata Atlântica  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"5.1. Rio, Lago e Oceano";0.00011672524619583681;0.0;0.0;3.7397760512509326e-05;5.870006899145886e-05;0.00015456683981714524;0.0;0.0;0.0;0.01378021713973148;0.0;0.01414760705524843;0.01414760705524843;0.0004928475256752686;0.9740316567966413;0.060053602981266795;0.025968343203358724;0.0004928475256752683
"3.2.2. Lavoura Perene";0.0;0.0;0.0;0.0;0.0;0.00011212928304312481;0.0;0.0;0.0;0.0;0.0;0.00011212928304312481;0.00011212928304312481;0.006161475992854515;0.0;0.0;1.0;0.006161475992854517
"total";0.28071753428084345;0.013060525702888725;0.016341897711882804;0.006466399618341679;0.0068042751938618565;0.4512899446286502;0.08343056151566429;0.10377368225570642;0.017201119235341893;0.014640454580923699;0.006273605275897641;1.0;1.0;0;0.8353320811877296;0.017679306881842497;0.1646679188122704;0.075515583835529
"adj population";0.2807175342808465;0.013060525702888723;0.016341897711882786;0.006466399618341679;0.0068042751938618565;0.4512899446286452;0.08343056151566422;0.10377368225570596;0.017201119235341893;0.014640454580923681;0.00627360527589764;1.0;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.36748438321579e-17;2.2525780159582054e-16;2.1489527758558375e-16;2.9882704589342063e-16;2.9313246710141515e-16;5.669711296072122e-17;1.0171637956361703e-16;9.02335403066599e-17;2.2282265577645543e-16;2.473818424098973e-16;3.018033176061881e-16;2.116442284631937e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8891465443001904;0.2961841755658311;0.5772324863942729;0.2915128421366911;0.1496411475879395;0.8190490374902104;0.8526228631110551;1.0;0.6517671167219075;0.9412424363985873;0.0;0.8353320811877291;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.01566194681424387;0.022145568547636503;0.031104163194423273;0.03196295545580178;0.01729894294494742;0.011810997973920517;0.029173411328513723;0.028069797188059777;0.0358581260915692;0.057441661600786106;0.0;0.017653325788288494;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9843380531857562;0.9778544314523635;0.9688958368055767;0.9680370445441983;0.9827010570550526;0.9881890020260795;0.9708265886714863;0.9719302028119402;0.9641418739084308;0.9425583383992139;1.0;0.16466791881227094;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.06223701750112304;0.018384409330244558;0.0044884185088703565;0.009162722174414564;0.0011822576824951476;0.05652233530091966;0.024591514570431156;0.0;0.0007769564878691917;0.0007347798310338993;0.00022425856608624962;0.08915233497674391;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1987 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"1.2. Floresta Plantada";"2.2. Formação Campestre (Campo)";"2.5. Outra Formação não Florestal";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.24387315587351432;0.0038255580078694566;0.00482635356021016;0.0005949593818479657;0.0010429699097104727;0.03162243473996607;0.0016502184229728607;0.0;7.889732299807509e-05;0.00018656685549751527;0.0012717660630822791;0.28897288013766914;0.28897288013766914;-0.014760103366921604;0.843930945206109;0.014892309644324423;0.156069054793891;0.014760103366921462
"1.1.2. Formação Savânica";0.004922794487391164;0.0039544498706546825;0.0005607484118192205;0.0003692780091776023;0.0002222632051213649;0.010616237780685914;0.0002672696325837694;0.0;0.00018624080215265138;0.0;0.0003775080882274837;0.02147679028781385;0.02147679028781385;-0.00871543578792211;0.184126669658756;0.013530391553762748;0.815873330341244;0.008715435787922114
"1.2. Floresta Plantada";0.001803633116872684;0.0;0.009616585417104046;0.0;0.0;0.0004965052179554018;0.0;0.0;0.0;0.0;0.0;0.011916723751932132;0.011916723751932132;0.004917536488229277;0.8069823231024257;0.04425250548018571;0.19301767689757432;0.00491753648822928
"2.2. Formação Campestre (Campo)";4.32264242938697e-05;0.0;0.0;0.0018728386874859223;2.1669973767017208e-05;0.01574474009066808;6.500992130105163e-05;0.0;0.0;0.0;4.332849412591834e-05;0.01779081359164186;0.01779081359164186;-0.011389043066870339;0.10526998542471284;0.010921608335598632;0.8947300145752871;0.01138904306687033
"2.5. Outra Formação não Florestal";8.385306838124098e-05;0.0;0.0;9.676402000418041e-05;0.0009902486913194982;0.0004972130306044808;0.0;0.0;0.0;0.0;0.0;0.0016680788103094004;0.0016680788103094004;0.004930241571956517;0.5936462265447902;0.06456410738515576;0.40635377345520984;0.004930241571956517
"3.1. Pastagem";0.004948657872201632;0.00302691891738217;0.00029533939084264795;0.0020272297546770277;0.0015815430062329622;0.3757806151722693;0.009379709955749996;0.0;0.0015008690884825775;5.396355544129842e-05;0.004657321306317555;0.4032521680195972;0.4032521680195972;0.051715974946381124;0.9318750027253587;0.013544398700987085;0.06812499727464127;0.05171597494638103
