"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Caatinga  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"total";0.020275269993072227;0.6679993812461718;0.03658037762663636;0.20318616424276467;0.00025646535046824665;0.05349414250709403;0.001986785259137485;0.012858732244486063;0.0033626815301721624;0.9999999999999999;0.9999999999999999;0;0.7587984448059524;0.013297819298073013;0.24120155519404762;0.09729301007565297
"adj population";0.020275269993072224;0.6679993812461688;0.036580377626636365;0.20318616424276456;0.0002564653504682466;0.05349414250709399;0.0019867852591374845;0.012858732244486063;0.003362681530172162;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.2016240894003223e-16;7.038177164860881e-17;1.572912783476602e-16;8.326231512692317e-17;1.8285705215112622e-15;1.4152987197272961e-16;7.088898733123505e-16;3.052110644084769e-16;5.018346243090961e-16;4.01713372957714e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.328405851049319;0.8211446078917487;0.18336317886369036;0.6455221270144356;0.42648236043689447;1.0;0.6211430558471928;0.837855318268512;0.04039120416224533;0.7587984448059523;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.019797787959041694;0.009307503404260502;0.01057568618468899;0.017110452688897274;0.08684092792091763;0.036063706298741734;0.03848184178932951;0.04477145072751292;0.004936138918061444;0.0131025085051159;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9802022120409583;0.9906924965957395;0.989424313815311;0.9828895473111027;0.9131590720790823;0.9639362937012582;0.9615181582106704;0.9552285492724871;0.9950638610819386;0.24120155519404773;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.027233505391485245;0.158564144678073;0.0597457666019642;0.04020922024353968;0.0002941748048605469;0.0;0.00024615150499784954;0.0007890531978966518;0.0007350738139773166;0.14390854511839724;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1987 "
" ";"1.1.1. Formação Florestal";"1.1.2. Formação Savânica";"2.2. Formação Campestre (Campo)";"3.1. Pastagem";"3.2.1. Lavoura Temporária";"3.3 Mosaico de Agricultura ou Pastagem";"4.1. Infraestrutura Urbana";"5.1. Rio, Lago e Oceano";"3.2.2. Lavoura Perene";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1.1.1. Formação Florestal";0.006955480905311754;0.038226173447093864;0.0005708163527595584;0.0043013765781802485;0.0;0.0;6.058650369645638e-05;0.0005994326483289666;0.00036500713336295825;0.05107887356873381;0.05107887356873381;-0.031090228674962646;0.13617138396664477;0.006994305880141787;0.8638286160333553;0.03109022867496265
"1.1.2. Formação Savânica";0.012528010222040512;0.5325644095941805;0.010165716316474309;0.054956635752669465;0.00018137413922301825;0.0;0.0;0.0011913323922867539;0.0014376153732864468;0.6130250937901611;0.6130250937901611;0.032034156347052076;0.8687481393322499;0.010366144723440265;0.13125186066775008;0.03203415634705209
"2.2. Formação Campestre (Campo)";0.0;0.02380688902259778;0.005930104868770621;0.00602257671811386;9.615500955688369e-05;0.0;9.688174175833705e-05;0.0;0.00010780559517090909;0.03606041295596839;0.03606041295596839;0.0012397074954406916;0.1644491669025416;0.00993049895263287;0.8355508330974584;0.001239707495440695
