"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Cerrado  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.4504469204357589;0.0323726464644766;0.06088788660554408;0.00029351506208502484;0.0008764028375043394;0.544877371405369;0.544877371405369;-0.04347894475352368;0.8266941225214547;0.007617421660672687;0.1733058774785453;0.043478944753523874
"2. Formação Natural não Florestal";0.03365379601982811;0.04788162110155662;0.015594232511533359;0.00013877584896155207;0.00034931074249357604;0.09761773622437321;0.09761773622437321;-0.007110360171310642;0.4905012444818564;0.012704401575891816;0.5094987555181436;0.007110360171310601
"3. Agropecuária";0.017215001730338426;0.010176423348101704;0.3215544337984419;0.000999067697093332;2.274712609619437e-05;0.34996767370007154;0.34996767370007154;0.048242226958369515;0.9188118159565211;0.010678137593000316;0.08118818404347894;0.04824222695836966
"4. Área não Vegetada";0.0;0.0;0.00012738747429119707;0.001815651604425907;0.0;0.0019430390787171042;0.0019430390787171042;0.0013039711338487115;0.9344390569976057;0.04817185743228054;0.06556094300239435;0.0013039711338487118
"5. Corpo D'água";8.27084659196247e-05;7.668513892767949e-05;4.596026863070823e-05;0.0;0.0053888257179948345;0.005594179591472847;0.005594179591472847;0.0010431068326160972;0.9632915121654244;0.05224117344274833;0.03670848783457559;0.001043106832616097
"total";0.5013984266518451;0.09050737605306261;0.3982099006584412;0.003247010212565816;0.006637286424088944;0.9999999999999999;0.9999999999999999;0;0.8270874526581775;0.0095135848939425;0.1729125473418225;0.050589304924834474
"adj population";0.5013984266518411;0.09050737605306261;0.3982099006584415;0.0032470102125658163;0.006637286424088939;0.9999999999999999;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";2.183134327494909e-17;3.675245274020772e-17;2.240091870898915e-17;1.9206893407865565e-16;1.4095114027098227e-16;4.1400478907378386e-16;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8983812004430846;0.529035568034639;0.807499846856522;0.5591764378810387;0.8119019390871808;0.827087452658178;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.00859036088239279;0.01388513967856648;0.00916389143920927;0.028431606094981448;0.042792083250243355;0.009589394317458259;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9914096391176072;0.9861148603214335;0.9908361085607907;0.9715683939050186;0.9572079167497567;0.17291254734182204;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.10190301243217237;0.08525150990301197;0.05682647980325928;0.0002547749485823942;0.00041070774695602455;0.12232324241699102;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1993 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.4443792862951252;0.03187946120854831;0.06159505524526061;0.00029245610240536974;0.0008526577966478868;0.5389989166479874;0.5389989166479874;-0.04404844489321453;0.8244530231316631;0.007670191068574622;0.17554697686833687;0.04404844489321469
"2. Formação Natural não Florestal";0.034022832592857634;0.046825792810961525;0.01566489507411077;0.00013827516587048256;0.00034805048010927653;0.09699984612390967;0.09699984612390967;-0.00795058652467507;0.4827408978684903;0.012614472676565373;0.5172591021315097;0.007950586524675035
"3. Agropecuária";0.01646594280099309;0.010267597109631686;0.3286334083185913;0.000952769970397062;2.2665057771683915e-05;0.3563423832573848;0.3563423832573848;0.049673496625013996;0.9222405859064501;0.010585568472501701;0.07775941409354992;0.04967349662501408
"4. Área não Vegetada";0.0;0.0;7.672679377411992e-05;0.0020081305722899007;0.0;0.0020848573660640205;0.0020848573660640205;0.0013067744448987946;0.9631980609210827;0.053676462687971944;0.03680193907891727;0.0013067744448987946
