"Thu Jan 11 18:27:46 2018   Matrizes de confusão anuais para Caatinga  -  Coleção 4.0 (CLASSIFICAÇÃO + FILTRO + INTEGRAÇÃO)  "
" "
"Corpo da tabela contém distribuição de frequências cruzadas da amostra."
"Marginais:"
"Totais: A coluna 'total' contém a soma das amostras de cada classe mapeada ou a estatística de linha para todas as classes. A linha 'total' contém a soma das amostras em cada classe observada ou a respectiva estatística de coluna para todas as classes. "
"Número de píxeis na população - A coluna 'population' contém o número de píxeis totais de cada classe mapeada. A 'adj population' contém as estimativas no número de píxeis na população corrigida pela matriz de erros. A coluna 'bias' contém a estimativa do viés relativo da área mapeada. A linha 'adj pop stdErr' contém uma estimativa do erro padrão do número de píxeis corrigido. Usado para representar a incerteza d ou construir intervalos de confiança. A estimativa do erro padrão é confiável apenas quando n>30./nAcurácias - Acurácia do usuário (user's accuracy): estimativa da fração de píxeis (ou área) de cada classe do mapa que está corretamente mapeada. Acurácia do produtor (producer's accuracy): estimativa da fração de píxeis (ou área) de cada classe que foi corretamente mapeada. A coluna 'user stderr' contém a estimativa do erro padrão da acurácia do usuário"
"Erros - Erro de comissão e omissão: são os complementares da acurácia do usuário e produtor"
"Decomposição do erro - O erro é decomposto em 'discordância de área' (area dis) e 'discordância de alocação' (alloc dis). A soma deles é o erro total."
" "
" "
" ANO: 1985 "
" ";"1. Floresta";"2. Formação Natural não Florestal";"3. Agropecuária";"4. Área não Vegetada";"5. Corpo D'água";"total";"population";"population bias";"user's accuracy";"user stderr";"error of comission";"area dis"
"1. Floresta";0.544725782728399;0.012741990294096995;0.08092187987992173;0.0002547258794177238;0.001406476754334168;0.6400508555361696;0.6400508555361696;-0.02954170513687754;0.8510664082654541;0.00952256083936706;0.1489335917345459;0.029541705136877705
"2. Formação Natural não Florestal";0.02184651018040705;0.005563280407710308;0.0064241339223394586;9.696139415790224e-05;0.0001700761665963683;0.034100962071211084;0.034100962071211084;0.0032279727208547188;0.1631414502644479;0.010512915145176535;0.8368585497355521;0.003227972720854712
"3. Agropecuária";0.04369753539349833;0.01883528686979864;0.2504935443728646;0.00038017011411388136;0.0007098164449336673;0.31411635319520914;0.31411635319520914;0.023802326673168242;0.7974546432391373;0.016180958613037272;0.20254535676086272;0.02380232667316834
"4. Área não Vegetada";6.0769905987059124e-05;0.0;7.912169325171798e-05;0.0015759476752709605;0.0;0.0017158392745097377;0.0017158392745097377;0.0005919657884507302;0.9184704527300507;0.05224631489773906;0.08152954726994932;0.0005919657884507303
"5. Corpo D'água";0.00017855219100051576;0.0001883772204598583;0.0;0.0;0.009649060511442825;0.0100159899229032;0.0100159899229032;0.0019194399544038294;0.9633656369180912;0.06468694526864018;0.036634363081908816;0.0019194399544038288
"total";0.6105091503992919;0.037328934792065796;0.3379186798683775;0.002307805062960468;0.011935429877307028;1.0000000000000002;1.0000000000000002;0;0.8120076156956872;0.012273677514489548;0.18799238430431275;0.029541705136877656
"adj population";0.6105091503992905;0.03732893479206582;0.33791867986837637;0.002307805062960468;0.01193542987730702;1.0000000000000002;NaN;NaN;NaN;NaN;NaN;NaN
"adj pop stdErr";6.729569394607954e-17;1.5104064122021495e-16;6.959331219185676e-17;6.37423985893288e-16;3.1676974303732937e-16;1.2421233762887687e-15;NaN;NaN;NaN;NaN;NaN;NaN
"producer's accuracy";0.8922483510232913;0.14903399839024528;0.7412835078263029;0.6828772934787326;0.8084384568157611;0.812007615695687;NaN;NaN;NaN;NaN;NaN;NaN
"prod stdErr";0.010383582884144898;0.009623125419004497;0.014809087111593993;0.0378740128969288;0.05085621668767115;0.012397157199586461;NaN;NaN;NaN;NaN;NaN;NaN
"error of omission";0.9896164171158551;0.9903768745809955;0.985190912888406;0.9621259871030712;0.9491437833123288;0.18799238430431298;NaN;NaN;NaN;NaN;NaN;NaN
"alloc dis";0.13156673534178576;0.057075363327001555;0.1272456176446891;0.0002797831984775543;0.0007338588229207493;0.15845067916743738;NaN;NaN;NaN;NaN;NaN;NaN
" "
" "
" ANO: 1993 "
